Chr	Start	End	Tags	length-ATAC-union	CoefOfVar_(SD/Mean)_ATAC_union	CoefOfVar_K27_500-600bp_union	Drop_(Max-Min/Max)_K27_500-600bp_union	CoefOfVar_Q1Q3_(SD/Mean)_ATAC_union	CoefOfVar_Q1Q3_K27_500-600_union	Min_ATAC_union	Max_ATAC_union	TotalN_ATAC_peaks_called	CoefOfVar_K27_500bp_union	CoefOfVar_K27_500-300bp_union	CoefOfVar_Q1Q3_K27_500_union	CoefOfVar_Q1Q3_K27_500-300_union	Drop_(Max-Min/Max)_K27_500bp_union	Drop_(Max-Min/Max)_K27_500-300bp_union	Max_K27_500-300bp_union	Max_K27_500bp_union	Max_K27_500-600bp_union	Mean_K27_500bp_union	Mean_K27_500-300bp_union	Mean_K27_500-600bp_union	Min_K27_500-300bp_union	Min_K27_500-600bp_union	Min_K27_500bp_union	SD_K27_500-300bp_union	SD_K27_500-600bp_union	SD_K27_500bp_union	Mean_ATAC_union	Max-Mean_ATAC_union	SD_ATAC_union	start-500	end-500	start-500-300	end-500-300	start-500-600	end-500-600	Mean/SD_K27_500-600bp
chr2	224009558	224010492		934	0.4564831987	0.9275060827	0.995850148	0.5162783206	0.9963407048	0.754738	5.88034	49	0.845478457	0.8933063803	0.9229215296	0.9658510893	0.9946023634	0.9955963966	6483.20274	4411.36721	7521.9206	987.81664988	1388.070415276	1544.99172986	28.5494538	31.2148576	23.810957	1239.9721582123	1432.989227195	835.1776969401	2.70073292	3.17960708	1.2328392021	224009525	224010525	224009225	224010825	224008925	224011125	1.0781600451
chr13	95328071	95328993		922	0.3876530971	0.9068217623	0.9957590421	0.4664192136	0.9398879481	0.712316	4.52751	48	0.88227516	0.905082865	0.9225966988	0.9401106587	0.9953420479	0.9959619102	1709.74916	1161.741765	1886.45668	256.66989554	370.734513712	406.960715118	6.9041206	8.0003833	5.4113375	335.5454558329	369.0408328845	226.4534731475	2.33822208	2.18928792	0.906419031	95328032	95329032	95327732	95329332	95327432	95329632	1.1027525381
chr10	43983759	43984749		990	0.4110194553	1.4410992118	0.995617413	0.4790098286	1.4559704821	0.519371	2.80333	42	1.5137757133	1.4400904158	1.5334991068	1.4616110849	0.996441955	0.9960881214	4232.01905	2291.59985	5405.38244	271.103813012	521.577219504	659.228206452	16.5551449	23.6895586	8.1536154	751.1183549065	950.0132487472	410.3903679147	1.3979975	1.4053325	0.574604171	43983754	43984754	43983454	43985054	43983154	43985354	0.6939147505
chr6	79764570	79765454		884	0.6193062448	1.0287514196	0.9952164082	0.6952551073	1.0724663334	0.608565	10.0935	46	1.067994343	1.0451615863	1.1056172123	1.0856132932	0.9974595761	0.9967423706	1107.790847	987.25654	1136.639032	175.640613642	204.948358666	214.378291452	3.608772	5.4372171	2.5080501	214.2041516561	220.5419716728	187.5831817778	3.0336572	7.0598428	1.8787628486	79764512	79765512	79764212	79765812	79763912	79766112	0.9720521215
chr1	86499712	86500567		855	0.389418021	3.0862164516	0.9949789098	0.4555078672	2.9177158397	0.542062	3.40835	41	4.2202900033	3.5960835389	3.7520342459	3.2856786752	0.9980834486	0.9966329545	141.8514249	141.3358897	142.6842134	4.781456958	5.605518278	6.52517715	0.4776202	0.7164303	0.2708775	20.1579120065	20.1381090702	20.1791350012	1.62380024	1.78454976	0.6323370759	86499640	86500640	86499340	86500940	86499040	86501240	0.3240213432
chr11	57237016	57237916		900	0.4523088068	1.3184267003	0.9948438965	0.5305894183	1.2787735089	0.567602	4.58399	47	1.2251813199	1.2827958119	1.1996060783	1.2455336564	0.9945013551	0.9950091213	1216.35443	782.02237	1488.073663	138.167150822	196.242800284	231.103979036	6.0706774	7.6726618	4.3000633	251.7394423186	304.6936565152	169.2798122114	2.17087336	2.41311664	0.9819051392	57236966	57237966	57236666	57238266	57236366	57238566	0.7584797848
chr10	131981476	131982483		1007	0.3990840684	1.3439176312	0.9947217828	0.462874794	1.2544753058	0.854779	5.70501	48	1.4152127415	1.3508758935	1.2964441466	1.2545598669	0.9967650029	0.9955333467	673.660229	575.802189	769.155723	82.168740448	101.31315899	115.595810076	3.0090067	4.059771	1.8627184	136.8615041729	155.3512472563	116.2862484358	2.4361912	3.2688188	0.9722450955	131981480	131982480	131981180	131982780	131980880	131983080	0.7440932218
chr2	217905041	217906062		1021	0.3148491859	1.2140186144	0.9943944909	0.3739157858	1.1854661768	0.574659	2.84926	44	1.2939714959	1.2637082395	1.2812154961	1.2357219401	0.9949514354	0.9948512622	1294.219483	977.394023	1726.709418	124.863727714	172.941190982	244.801538382	6.6635968	9.6790854	4.9344369	218.5472079939	297.1936244272	161.5701045317	1.67374212	1.17551788	0.5269763438	217905052	217906052	217904752	217906352	217904452	217906652	0.823710599
chr12	44888861	44889842		981	0.6168816207	1.5523851046	0.9941833438	0.6562408148	1.4860249311	0.777172	7.65878	49	1.5960345744	1.5559780381	1.5153804956	1.4815460786	0.9944620201	0.9940817439	1490.926386	1231.18926	1620.398084	123.96563185	155.709341618	168.730162232	8.8236842	9.4252986	6.8183014	242.2803158794	261.934190546	197.8534344731	2.69681052	4.96196948	1.6636128442	44888852	44889852	44888552	44890152	44888252	44890452	0.6441700562
chr8	8227572	8228797		1225	0.4747218948	0.7209226376	0.9941404533	0.5451739416	0.7887317478	1.56916	14.395	51	0.7126686108	0.719730217	0.7884861336	0.7885024497	0.9946879619	0.9941410001	1897.205565	1723.027089	1916.505202	539.748487756	596.244775328	604.231512868	11.1157273	11.2298518	9.1527856	429.1353815302	435.6041759693	384.6618049662	5.6070558	8.7879442	2.6617921537	8227684	8228684	8227384	8228984	8227084	8229284	1.3871113874
chr4	69343412	69344414		1002	0.4937872295	1.3803714267	0.9940310564	0.5679366212	1.2841037993	0.567602	4.19343	44	1.4242838247	1.401337953	1.325958714	1.3016284347	0.9948288228	0.9949329416	509.736988	417.741668	534.996327	61.652993654	75.757822842	80.954418704	2.5828671	3.1933629	2.1602162	106.162312385	111.7471664413	87.8113616041	1.77610812	2.41732188	0.8770195079	69343413	69344413	69343113	69344713	69342813	69345013	0.7244426976
chr5	31707135	31708053		918	0.5218455332	1.7670028324	0.9936976235	0.5786079172	1.57724342	0.929494	6.81666	48	1.6926745005	1.761599328	1.5177307233	1.5714107353	0.9980985306	0.9947315734	540.095177	330.384806	621.530115	43.112219254	70.693278448	81.830512112	2.8454518	3.9171168	0.6282166	124.5332318114	144.5947466746	72.9749541931	2.83645056	3.98020944	1.480189055	31707094	31708094	31706794	31708394	31706494	31708694	0.5659300493
chr2	170822770	170823732		962	0.3950808747	0.7341655027	0.9936125333	0.4545944503	0.8273912357	2.43182	10.7274	50	0.6813837089	0.7118079114	0.7729954906	0.8052316805	0.9874953189	0.9922069441	9874.358809	5355.926649	12298.05458	1882.414664762	3131.530337086	3664.850167626	76.95143	78.5534141	66.974155	2229.0480686241	2690.6065657168	1282.6466860218	5.4714912	5.2559088	2.1616815295	170822751	170823751	170822451	170824051	170822151	170824351	1.3620906952
chr15	81098753	81099679		926	0.3743645208	1.6601665662	0.9936010456	0.4462669941	1.5495155751	0.854889	6.8167	50	1.7037292563	1.6912601538	1.5883016307	1.5745317568	0.9935271529	0.9937429555	722.377793	632.31348	745.2907028	67.257568458	78.511149944	82.12560066	4.51995	4.7690812	4.0928685	132.7827795293	136.3421764465	114.5886870862	3.50910338	3.30759662	1.3136838054	81098716	81099716	81098416	81100016	81098116	81100316	0.6023491982
chr1	209805788	209806721		933	0.546985525	0.9381702878	0.9934887806	0.6437226377	1.015212068	0.511741	9.78673	48	0.9539304645	0.9439437842	1.0339199887	1.0214965998	0.9940711163	0.9937842341	481.1502438	465.62927	487.583279	109.316505642	113.439165458	115.164788492	2.9907173	3.1747617	2.7606618	107.0801951149	108.0441827646	104.2803450029	4.14079012	5.64593988	2.2649522578	209805754	209806754	209805454	209807054	209805154	209807354	1.065904573
chr14	33950359	33951479		1120	0.3477145445	1.6635377452	0.993361675	0.4045749186	1.5638588194	0.905034	3.97989	53	1.715862865	1.6859722785	1.5979787666	1.575036593	0.9954249326	0.9938615197	467.1227855	407.970445	481.4441907	38.32607803	44.31973626	46.152527748	2.867424	3.195983	1.8664923	74.7218467252	76.7764719464	65.7622940517	1.9837468	1.9961432	0.689777615	33950419	33951419	33950119	33951719	33949819	33952019	0.6011285304
chr4	87341959	87342876		917	0.5354824507	2.3865163995	0.993350829	0.5986350701	2.2793541342	0.561954	5.50769	46	2.3034762925	2.4408907023	2.2228102529	2.3274223342	0.9947401894	0.9943519649	2362.410705	1377.604165	2601.305325	87.611456192	141.293907418	159.918871986	13.3429786	17.296524	7.245937	344.882984905	381.6490105902	201.810912287	2.06938844	3.43830156	1.1081211932	87341918	87342918	87341618	87343218	87341318	87343518	0.4190207954
chr2	217092461	217093424		963	0.4624903588	0.655313891	0.9933182331	0.5295238843	0.7397440663	1.34272	9.7034	50	0.627462533	0.6485043284	0.7160051173	0.7345971522	0.9918077826	0.9930908585	5283.16523	3408.06396	5860.596431	1135.49612238	1739.16681506	1934.364557676	36.502136	39.1591395	27.919601	1127.8572073822	1267.6159649059	712.4812731154	3.8183636	5.8850364	1.7659563513	217092442	217093442	217092142	217093742	217091842	217094042	1.5259862697
chr15	82647243	82648152		909	0.373560288	0.978718791	0.993306207	0.442817359	0.9821606607	0.847993	4.58189	48	0.9363080101	0.9626048993	0.9567775724	0.9729628572	0.9916623918	0.9927831464	1535.48064	1201.94964	1777.825235	290.74093836	368.044179836	426.315857118	11.081339	11.9003941	10.0213852	354.2811306603	417.2433402567	272.2230694532	2.22482264	2.35706736	0.8311053862	82647198	82648198	82646898	82648498	82646598	82648798	1.0217439465
chr19	21568932	21569863		931	0.5423581848	0.9133006973	0.9930939605	0.6039526367	0.9685506895	0.536828	7.79256	49	0.8908646236	0.9088464265	0.9495342448	0.9627609617	0.9907441197	0.9929235579	4276.582155	3127.92561	4527.008686	802.227926756	1084.451780336	1133.694744244	30.2629858	31.263701	28.951705	985.6001252619	1035.4042004378	714.676480043	3.16818874	4.62437126	1.718293094	21568898	21569898	21568598	21570198	21568298	21570498	1.0949296359
chr17	18625259	18626182		923	0.380105979	0.7612422198	0.9929669913	0.4252106095	0.8395302929	1.03439	5.28379	50	0.7389605785	0.7588868346	0.8188133218	0.8374383452	0.9924978924	0.9931880055	2030.314303	1626.427401	2097.050303	456.768875556	564.178836486	584.517884668	13.8304898	14.748573	12.2016334	428.147891365	444.9596920607	337.5341925186	2.6678182	2.6159718	1.0140536488	18625220	18626220	18624920	18626520	18624620	18626820	1.3136423256
chr3	37598881	37599816		935	0.4349993922	1.0830129416	0.9923054808	0.5028492009	1.0705083322	0.650689	4.26112	47	1.1152284532	1.1068522161	1.0973505294	1.0907365513	0.9951907622	0.9937968427	466.017956	370.671896	482.1403	62.195010902	79.36246636	84.302241476	2.8907827	3.7098378	1.7826493	87.842521767	91.3004185203	69.3616458031	1.93939466	2.32172534	0.8436354983	37598848	37599848	37598548	37600148	37598248	37600448	0.9233500004
chr14	33938026	33938956		930	0.3435562215	1.1342072851	0.9919942803	0.4084008001	1.145462519	0.754738	4.01333	47	1.118277421	1.1313761735	1.1299563776	1.143812848	0.9932702624	0.9922617508	2061.51395	1760.094831	2147.754604	324.921271272	370.278322886	383.143854736	15.9525087	17.1943213	11.8449764	418.9240720808	434.5645513009	363.3521212782	2.10938802	1.90394198	0.7246933777	33937991	33938991	33937691	33939291	33937391	33939591	0.8816730531
chr8	100395256	100396449		1193	0.4219966118	0.8611511975	0.9918824927	0.4889689679	0.9107161666	0.562589	3.36449	46	0.8734957175	0.8678342515	0.921281574	0.9163763506	0.9939889185	0.992849823	2615.039312	2275.79713	2656.655218	457.355401316	520.046044146	531.785329978	18.697994	21.565418	13.680002	451.3137694814	457.9475737288	399.4979844313	1.68580146	1.67868854	0.7114025043	100395352	100396352	100395052	100396652	100394752	100396952	1.1612362648
chr8	145026505	145027430		925	0.5183337497	1.5522591898	0.9915451872	0.5823726844	1.547648358	0.715771	6.1334	47	1.5615957633	1.5548411372	1.5549585105	1.5488617103	0.9923523368	0.9920236497	1730.721024	1485.87431	1821.781934	134.065503632	156.236779772	164.556374592	13.8048371	15.4028253	11.3634663	242.9233723383	255.434144699	209.3561224704	1.78421432	4.34918568	0.9248184987	145026468	145027468	145026168	145027768	145025868	145028068	0.6442223094
chr5	171476888	171477838		950	0.4903590634	1.03093195	0.9914432915	0.5508900361	1.1254144354	0.513668	3.61183	41	1.0086335456	1.0235314912	1.0983204857	1.1175892261	0.9933021259	0.9915788577	1870.945316	1493.420634	1983.997581	253.796142024	310.157528648	323.649753398	15.7554967	16.9764889	10.0027434	317.4559977956	333.6608713911	255.9873025971	1.6492836	1.9625464	0.8087411614	171476863	171477863	171476563	171478163	171476263	171478463	0.9699961283
chr8	118621584	118622483		899	0.4281002298	0.8751449965	0.9911310502	0.5016881801	0.921741723	1.26315	11.7513	50	0.8882193429	0.8783765365	0.9408918746	0.9264025963	0.9926095617	0.9916756253	373.4026555	366.3201957	384.3917102	73.588263478	76.237007084	78.091628108	3.1083436	3.4091508	2.7072668	66.9647982375	68.3414976087	65.362519033	4.2431464	7.5081536	1.816491949	118621534	118622534	118621234	118622834	118620934	118623134	1.142667791
chr9	4852111	4853040		929	0.4667520545	0.681975321	0.9911123564	0.5553199428	0.7846410079	0.763811	15.6522	49	0.6503661324	0.6761843557	0.7533418401	0.7798683518	0.9870900411	0.9899991428	11272.25369	7084.50484	14188.78448	2223.85104712	3344.632673	4211.51630718	112.732199	126.10486	91.460666	2261.5882891966	2872.1501856022	1446.3174046287	7.53816106	8.11403894	3.5184521619	4852076	4853076	4851776	4853376	4851476	4853676	1.4663287207
chr11	22795551	22796525		974	0.520448619	1.1515361818	0.9910645108	0.5857573076	1.1008153841	0.841936	8.08847	49	1.138751488	1.1590459131	1.0984055443	1.1074463888	0.9903159659	0.9918223414	1147.288122	836.508324	1246.857352	173.815188542	234.122255438	252.70897833	9.3821306	11.1412804	8.1007751	271.3584433214	291.0035320033	197.9323045932	2.65434892	5.43412108	1.3814522297	22795538	22796538	22795238	22796838	22794938	22797138	0.8684051929
chr10	91632783	91633641		858	0.4700422017	1.6553151235	0.9910146066	0.5265971492	1.5146998596	0.665945	4.16073	47	1.8696285428	1.7714832428	1.6569372567	1.6013417876	0.995276527	0.9933117773	77.3530767	70.411136	78.1406076	7.954036988	9.196689544	9.97466196	0.5173546	0.7021241	0.3325851	16.2917814166	16.5112087945	14.8710945834	1.92924012	2.23148988	0.9068242735	91632712	91633712	91632412	91634012	91632112	91634312	0.6041145796
chr5	178730224	178731105		881	0.3429103687	0.9317853343	0.9907531218	0.4006743566	0.9468527988	1.25321	7.98672	50	0.951682609	0.9402584415	0.9607363131	0.9549214278	0.9924701084	0.9910432782	404.4995354	377.72347	406.4537784	67.92430775	74.786046374	75.667504726	3.6229898	3.7584286	2.8442168	70.318211407	70.5058711898	64.6423824123	4.76261	3.22411	1.6331483512	178730164	178731164	178729864	178731464	178729564	178731764	1.0732085633
chr1	115179087	115180034		947	0.5500618259	1.333056538	0.990733721	0.5984591078	1.2290740252	0.593129	5.01521	45	1.1834503285	1.3012694915	1.1086674364	1.2030688887	0.9853124173	0.9894288672	1955.770303	851.436213	2371.330435	145.284349482	271.0829374	315.676977668	20.6747076	21.9734093	12.5055398	352.7519561136	420.8152589858	171.936811115	1.88783224	3.12737776	1.0384244489	115179060	115180060	115178760	115180360	115178460	115180660	0.7501557297
chr9	101649951	101650869		918	0.356265044	0.9043504348	0.9905189319	0.4297368703	0.9605833846	2.7151	11.4895	50	0.8975084629	0.9016677717	0.9602106475	0.9581472669	0.9925402644	0.990976091	2725.121913	2171.902313	2893.357569	479.277682562	602.67724543	638.49611611	24.5912522	27.4321201	16.2018171	543.4146489674	577.4242402234	430.1557761897	7.1873062	4.3021938	2.5605859593	101649910	101650910	101649610	101651210	101649310	101651510	1.105766041
chr6	29942047	29942993		946	0.4232276087	0.8564059024	0.9904954361	0.4814757203	0.9320153219	1.4024	7.7042	50	0.8706683655	0.8611294617	0.9481102474	0.9360664147	0.9924115843	0.9907792668	2306.505962	2016.38644	2328.752959	553.405651528	625.702323022	635.320723152	21.2676762	22.1337813	15.3011786	538.8107046173	544.0924172235	481.8327940658	4.2064256	3.4977744	1.7802754478	29942020	29943020	29941720	29943320	29941420	29943620	1.1676706071
chr6	106177534	106178494		960	0.3984395392	1.5830104044	0.9904726721	0.4659133976	1.4744952024	1.06921	6.04763	50	1.5124975568	1.5697525016	1.4204753657	1.4633212962	0.9898229986	0.9903856289	3383.30765	2505.2795	3639.200971	335.19148356	428.112380102	453.693597036	32.5283754	34.6718611	25.496233	672.0304796155	718.2016845287	506.9762999367	3.15398	2.89365	1.2566703377	106177514	106178514	106177214	106178814	106176914	106179114	0.6317077874
chr13	41995730	41996601		871	0.4136617964	0.9996297141	0.9904527843	0.4832350335	1.0726675812	1.47985	12.4828	50	0.8753068098	0.9370202314	0.9726030081	1.0224178301	0.9859222789	0.9889297625	5311.49451	2860.83246	7341.78013	668.62864035	1178.207689752	1502.02710447	58.7995058	70.0935586	40.2740015	1104.0044421457	1501.4709250422	585.2552021425	6.1126288	6.3701712	2.5285610101	41995666	41996666	41995366	41996966	41995066	41997266	1.000370423
chr18	76790309	76791236		927	0.4902601802	1.0210515625	0.9903894653	0.563963031	1.0932022576	0.679143	7.37314	48	1.0208798072	1.0258089644	1.0952184717	1.1000200405	0.9908102535	0.9905789348	2994.865508	2035.360498	3306.640459	361.98687392	546.571007384	619.898962106	28.2148231	31.7785828	18.7044471	560.6774390498	632.9488038271	369.5450900663	3.21594954	4.15719046	1.576652001	76790272	76791272	76789972	76791572	76789672	76791872	0.9793824688
chr12	94699540	94700426		886	0.3991955618	0.8450490611	0.9903302918	0.4654091311	0.9323880213	0.731038	5.01667	50	0.8398991589	0.8432393884	0.9299626596	0.931496991	0.9910846741	0.9906764212	1016.55333	831.8007	1074.491219	180.900313708	218.246865308	228.8984379	9.4779151	10.3900166	7.4157743	184.0343532276	193.4304100366	151.9380213193	2.53186116	2.48480884	1.010707738	94699483	94700483	94699183	94700783	94698883	94701083	1.183363246
chr9	41643445	41644341		896	0.4797781051	0.8353706274	0.9902482552	0.5392396666	0.886677243	0.501438	5.09339	45	0.8526513792	0.8426248842	0.9021752003	0.8936932482	0.9909493578	0.9909020221	271.3469434	269.177088	273.1415306	76.715369288	78.53586589	79.423607254	2.4687085	2.6636065	2.4362255	66.1762749027	66.348148625	65.4114654298	2.28673418	2.80665582	1.0971249918	41643393	41644393	41643093	41644693	41642793	41644993	1.1970734512
chr1	205248928	205249811		883	0.4536699679	1.3707455386	0.9901568559	0.5395354663	1.3731114589	0.760507	7.70342	49	1.3609013515	1.371538586	1.3635330803	1.3730294807	0.9894898065	0.9902850591	3638.59753	2604.75603	3839.534011	329.895805798	450.816806984	473.38231482	35.34876	37.7930865	27.37649	618.3126459929	648.886696103	448.9556479565	3.69773406	4.00568594	1.6775508923	205248870	205249870	205248570	205250170	205248270	205250470	0.7295300053
chr3	38717385	38718276		891	0.3610918838	1.2301538134	0.9901550027	0.4236127373	1.1432866639	1.56546	8.72818	50	1.2186431025	1.2440309684	1.1371102529	1.1559194949	0.9907532548	0.9910489097	1125.91244	788.966651	1237.585376	122.610450718	168.009819712	190.829589912	10.0781439	12.1840247	7.2953736	209.009418711	234.7497477462	149.4183800565	3.6509916	5.0771884	1.3183434347	38717330	38718330	38717030	38718630	38716730	38718930	0.8129064748
chr13	40672143	40673036		893	0.4092218875	1.0640298307	0.9899174896	0.4674063493	1.1010339557	1.27807	7.33989	50	0.9632779782	1.0254516869	0.9978077008	1.0615108034	0.9896307858	0.9903936415	1780.745287	1271.54801	2051.90373	204.43124525	262.19281209	287.449633828	17.1064777	20.6883408	13.1849537	268.8660614583	305.854985205	196.9241166104	3.908667	3.431223	1.5995120873	40672090	40673090	40671790	40673390	40671490	40673690	0.9398232749
chr3	182005434	182006347		913	0.452533456	0.8288699153	0.9892911187	0.5289094699	0.8962015509	0.932489	9.26455	49	0.8350639704	0.8335701267	0.9063729183	0.9023804948	0.9898737654	0.9902134783	1489.375949	1232.201885	1533.518217	294.996091628	356.46018182	370.757297722	14.57581	16.4222646	12.4775654	297.1345589346	307.3095699498	246.3406075381	4.01198938	5.25256062	1.8155594195	182005390	182006390	182005090	182006690	182004790	182006990	1.2064619328
chr6	5466319	5467211		892	0.395773592	1.3607992144	0.9892701325	0.4586523515	1.3389745496	0.532096	2.8624	46	1.3698321228	1.3656129556	1.3532278526	1.3456491897	0.991769138	0.989887166	1557.971343	1198.173143	1647.785387	133.760895964	173.335073466	183.296102166	15.7555056	17.6805188	9.8619978	236.7086219918	249.429191826	183.2299720689	1.56602412	1.29637588	0.6197909911	5466265	5467265	5465965	5467565	5465665	5467865	0.7348622702
chr9	101664157	101665092		935	0.4402558159	0.8700607814	0.9891482359	0.5128474217	0.9580459495	1.45183	10.3777	50	0.8694342457	0.8690266946	0.9632794197	0.9608490312	0.9881741909	0.9886487387	4000.38997	2695.03509	4528.121972	646.907386056	981.332812126	1124.172900676	45.4094718	49.1381115	31.8709705	852.8044100359	978.0987524422	562.4434352344	4.205112	6.172588	1.8513250143	101664124	101665124	101663824	101665424	101663524	101665724	1.1493449898
chr2	235692447	235693333		886	0.4740425441	1.2190916158	0.9889711082	0.5367510725	1.23046057	0.55794	4.7298	45	1.2208528948	1.2273399039	1.2236603887	1.2381745226	0.9894699247	0.9888263477	1178.421302	825.690067	1284.851848	133.80074505	192.265411644	208.11860682	13.1672699	14.170492	8.6945786	235.9750118441	253.7156486685	163.3510269162	1.82461734	2.90518266	0.8649462459	235692390	235693390	235692090	235693690	235691790	235693990	0.8202828951
chr18	3915985	3916853		868	0.3559764834	2.0175085469	0.9886639552	0.4291881406	1.965530565	0.941724	5.55873	50	1.9399177469	1.9825114741	1.8871468056	1.9330674098	0.9905055614	0.9888282806	1730.027888	1433.789148	1876.87743	107.0277394	125.095970734	132.681064826	19.3273862	21.2763666	13.613023	248.0041973466	267.6851822928	207.6250110758	2.99115208	2.56757792	1.0647797988	3915919	3916919	3915619	3917219	3915319	3917519	0.4956608494
